date_of_departure,departure_airport,time_of_departure,arrival_airport,time_of_arrival,flight_duration,flight_fare,departure_airport_flight_1,time_of_departure_flight_1,arrival_airport_flight_1,time_of_arrival_flight_1,airlines_flight_1,flight_fare_flight_1,seats_for_lower_price_flight_1,departure_airport_flight_2,time_of_departure_flight_2,arrival_airport_flight_2,time_of_arrival_flight_2,airlines_flight_2,flight_fare_flight_2,seats_for_lower_price_flight_2
st 01.05.2019,PRG,10:50,FAO,19:50 Faro ,10:00 h / 1 přestup,1142 Kč,PRG,10:50,FAO,11:45 Londýn ,easyJet,614 Kč,5       ,Londýn (Southend) SEN,st 17:05 Londýn ,FAO,19:50 Faro ,Ryanair,527 Kč,       
čt 09.05.2019,PRG,15:05,FAO,22:10 Faro ,8:05 h / 1 přestup,1197 Kč,PRG,15:05,FAO,15:55 Londýn ,easyJet,523 Kč,2       ,Londýn (Stansted) STN,čt 19:15 Londýn ,FAO,22:10 Faro ,Ryanair,673 Kč,       
po 29.04.2019,PRG,10:50,FAO,18:55 Faro ,9:05 h / 1 přestup,1202 Kč,PRG,10:50,FAO,11:45 Londýn ,easyJet,675 Kč,7       ,Londýn (Southend) SEN,po 16:10 Londýn ,FAO,18:55 Faro ,Ryanair,527 Kč,       
čt 04.04.2019,PRG,15:05,FAO,22:10 Faro ,8:05 h / 1 přestup,1221 Kč,PRG,15:05,FAO,15:55 Londýn ,easyJet,433 Kč,4       ,Londýn (Stansted) STN,čt 19:15 Londýn ,FAO,22:10 Faro ,Ryanair,788 Kč,2       
út 02.04.2019,PRG,12:25,FAO,21:50 Faro ,10:25 h / 1 přestup,1236 Kč,PRG,12:25,FAO,13:35 Londýn ,easyJet,614 Kč,6       ,Londýn (Gatwick) LGW,út 18:55 Londýn ,FAO,21:50 Faro ,easyJet,621 Kč,8       
út 02.04.2019,PRG,12:25,FAO,19:25 Faro ,8:00 h / 1 přestup,1295 Kč,PRG,12:25,FAO,13:35 Londýn ,easyJet,614 Kč,6       ,Londýn (Gatwick) LGW,út 16:30 Londýn ,FAO,19:25 Faro ,easyJet,681 Kč,3       
po 23.09.2019,PRG,06:15,FAO,18:15 Faro ,13:00 h / 1 přestup,1119 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,po 16:20 Brusel ,FAO,18:15 Faro ,Ryanair,590 Kč,       
st 25.09.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1119 Kč,PRG,08:55,FAO,10:30 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,st 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,590 Kč,       
út 24.09.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1119 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,út 15:15 Brusel ,FAO,17:10 Faro ,Ryanair,590 Kč,       
čt 26.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1119 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,čt 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,590 Kč,       
čt 12.09.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1119 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,čt 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,590 Kč,2       
st 04.09.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1170 Kč,PRG,07:50,FAO,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 11:00 Eindhoven ,FAO,13:05 Faro ,Ryanair,641 Kč,       
st 25.09.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1170 Kč,PRG,07:50,FAO,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 11:00 Eindhoven ,FAO,13:05 Faro ,Ryanair,641 Kč,       
st 18.09.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1170 Kč,PRG,07:50,FAO,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 11:00 Eindhoven ,FAO,13:05 Faro ,Ryanair,641 Kč,       
st 28.08.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1170 Kč,PRG,08:55,FAO,10:30 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,st 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,641 Kč,       
st 11.09.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1170 Kč,PRG,07:50,FAO,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 11:00 Eindhoven ,FAO,13:05 Faro ,Ryanair,641 Kč,3       
